Location,Year,Sample_date,Tissue,UCDavis,DFO_sample_id,csia_sample_id,sex,duplicate_in_year,duplicate_other_year,duplicate_id,wgs,genetic_group,pop_analysis,mean_se,Ala,Asx,Glx,Gly,His,Ile,Leu,Lys,Met,Phe,Pro,Ser,Thr,Tyr,Val
Pangnirtung,2013,2013-08-12,SKIN,CM118,ARPG-2013-01,Pang2013-01,F,0,0,Pang2013-01,1,ECAG2,1,mean,-19.63,-15.35,-17.56,-9.15,,-16.31,-26.89,,-21.08,-26.06,-12.17,,-6.5,,-20.97
Mittimatalik,2013,2013-08-11,SKIN,CM119,ARPI-2013-01,ARPI4001,F,0,1,ARPI4001,1,ECAG1,1,mean,-18.16,-11.99,-14.91,-5.17,,-14.62,-24.23,,-21.16,-25.4,-11.43,,-6.16,,-18.69
Mittimatalik,2013,2013-08-11,SKIN,CM121,ARPI-2013-03,ARPI4003,F,1,0,ARPI4003,1,ECAG1,,mean,-17.45,-13.69,-14.37,-5.37,,-14.5,-23.84,,-21.64,-25.19,-11.12,,-6.07,,-18.31
Mittimatalik,2013,2013-08-11,SKIN,CM122,ARPI-2013-04,ARPI4004,F,2,0,ARPI4003,1,ECAG1,1,mean,-17.83,-12.1,-14.23,-5.24,,-15.08,-24.08,,-21.94,-25.49,-12.64,,-6.6,,-18.42
Mittimatalik,2013,2013-08-11,SKIN,CM123,ARPI-2013-05,ARPI4005,M,0,1,ARPI4005,1,ECAG1,,mean,-19.14,-13.28,-14.99,-6.17,,-14.9,-24.44,,-20.94,-25.45,-11.92,,-7.81,,-19.12
Mittimatalik,2013,2013-08-11,SKIN,CM124,ARPI-2013-06,ARPI4006,F,0,1,ARPI4006,1,ECAG1,1,mean,-17.98,-12.98,-14.48,-5.23,,-15.26,-24.39,,-21.75,-25.71,-13.04,,-9.44,,-18.82
Mittimatalik,2013,2013-08-11,SKIN,CM125,ARPI-2013-07,ARPI4007,M,0,0,ARPI4007,1,ECAG1,1,mean,-18.76,-14.52,-13.63,-6.91,,-14.92,-24.63,,-21.14,-25.48,-12.56,,-9.5,,-18.85
Pangnirtung,2020,2020-08-05,SKIN,CM262,KW-2020-PG-01,KW-2020-PG-01,M,1,2,KW-2020-PG-01,1,ECAG1,,mean,-19.85,-12.69,-14.3,-7.2,-1.94,-15.08,-24.48,-14.72,-22,-26.47,-12.93,-4.83,-5.18,-24.99,-16.88
Pangnirtung,2020,2020-08-05,SKIN,CM263,KW-2020-PG-02,KW-2020-PG-02,F,0,0,KW-2020-PG-02,1,ECAG1,1,mean,-16.46,-11.76,-14.35,-7.73,-1.65,-15.06,-23.96,-15.24,-21.26,-26.66,-12.17,-3.88,-4.18,-24.54,-16.44
Pangnirtung,2020,2020-08-05,SKIN,CM264,KW-2020-PG-03,KW-2020-PG-03,F,1,2,KW-2020-PG-03,1,ECAG1,,mean,-15.63,-12.76,-15.08,-7.96,-1.51,-15.64,-24.41,-15.61,-22.53,-27,-13.48,-3.71,-5.45,-25.68,-16.91
Pangnirtung,2020,2020-08-05,SKIN,CM265,KW-2020-PG-04,KW-2020-PG-04,M,1,0,KW-2020-PG-04,1,ECAG1,,mean,-16.37,-11.93,-14.62,-7.76,0.61,-15.71,-24.08,-15.78,-22.09,-26.92,-13.03,-3.3,-4.27,-25.52,-17.31
Pangnirtung,2020,2020-08-06,SKIN,CM266,KW-2020-PG-05,KW-2020-PG-05,M,0,0,KW-2020-PG-05,1,ECAG1,1,mean,-16.39,-11.33,-14.08,-7.33,-1.39,-15.39,-24.53,-15.18,-21.28,-26.34,-12.73,-3.75,-4.54,-24.43,-16.34
Pangnirtung,2020,2020-08-06,SKIN,CM267,KW-2020-PG-06,KW-2020-PG-06,F,1,2,ARPI4006,1,ECAG1,,mean,-15.99,-11.7,-14.19,-6.53,-1.58,-15.19,-24.19,-16.27,-20.84,-26.27,-12.01,-2.17,-4.55,-25.81,-16.09
Pangnirtung,2020,2020-08-06,SKIN,CM268,KW-2020-PG-07,KW-2020-PG-07,F,2,3,KW-2020-PG-03,1,ECAG1,,mean,-16.16,-13.1,-15.09,-7.83,-2.79,-16.2,-25.09,-16.35,-22.17,-27.07,-13.19,-4.61,-5.82,-25.6,-17.07
Pangnirtung,2020,2020-08-06,SKIN,CM269,KW-2020-PG-08,KW-2020-PG-08,F,0,0,KW-2020-PG-08,0,ECAG1,,mean,-17.28,-12.72,-14.96,-7.42,-3.69,-15.88,-24.5,-16.94,-22.02,-26.82,-13.51,-4.53,-4.91,-25.69,-17.15
Pangnirtung,2020,2020-08-06,SKIN,CM270,KW-2020-PG-09,KW-2020-PG-09,F,1,0,KW-2020-PG-09,1,ECAG1,1,mean,-17.5,-12.92,-15.44,-7.88,-2.58,-15.79,-24.71,-16.48,-21.49,-27.31,-12.83,-4.94,-5.49,-25.64,-16.66
Pangnirtung,2020,2020-08-06,SKIN,CM271,KW-2020-PG-10,KW-2020-PG-10,M,0,0,KW-2020-PG-10,0,ECAG1,,mean,-20.96,-13.4,-15.24,-9.25,-2.44,-14.95,-24.44,-16.68,-22.94,-26.24,-12.59,-6.17,-3.86,-25.49,-16.16
Pangnirtung,2020,2020-08-06,SKIN,CM272,KW-2020-PG-11,KW-2020-PG-11,F,0,0,KW-2020-PG-11,1,ECAG1,1,mean,-18.36,-13.06,-15.6,-7.85,-5.46,-16.31,-25.35,-17.05,-22.26,-27.27,-13.45,-4.65,-5.71,-25.83,-17.24
