Location,Year,Sample_date,Tissue,UCDavis,DFO_sample_id,csia_sample_id,sex,duplicate_in_year,duplicate_other_year,duplicate_id,wgs,genetic_group,pop_analysis,mean_se,Ala,Asx,Glx,Gly,Ile,Leu,Lys,Met,Phe,Pro,Ser,Thr,Tyr,Val
Pangnirtung,2013,2013-08-12,SKIN,CM118,ARPG-2013-01,Pang2013-01,F,0,0,Pang2013-01,1,ECAG2,1,mean,21.9145,20.378,24.4105,5.3095,25.827,24.196,6.492,,11.915,34.558,16.8085,-37.909,,25.7015
Mittimatalik,2013,2013-08-11,SKIN,CM119,ARPI-2013-01,ARPI4001,F,0,1,ARPI4001,1,ECAG1,1,mean,22.2755,20.635,23.736,3.945,24.76,23.8985,6.692,,13.3435,31.088,15.58,-47.976,,25.074
Mittimatalik,2013,2013-08-11,SKIN,CM121,ARPI-2013-03,ARPI4003,F,1,0,ARPI4003,1,ECAG1,,mean,21.688,20.0195,23.393,2.593,24.697,24.562,6.437,,11.6725,30.707,15.123,-49.4,,25.658
Mittimatalik,2013,2013-08-11,SKIN,CM122,ARPI-2013-04,ARPI4004,F,2,0,ARPI4003,1,ECAG1,1,mean,22.127,20.0828,24.2564,2.7284,24.892,25.2644,6.274,,12.3436,29.73,16.669,-49.7057,,26.256
Mittimatalik,2013,2013-08-11,SKIN,CM123,ARPI-2013-05,ARPI4005,M,0,1,ARPI4005,1,ECAG1,,mean,22.6855,21.938,25.3655,8.0465,25.1565,24.978,6.8225,,14.332,32.746,18.5455,-46.9685,6.544,25.549
Mittimatalik,2013,2013-08-11,SKIN,CM124,ARPI-2013-06,ARPI4006,F,0,1,ARPI4006,1,ECAG1,1,mean,22.2635,20.8115,24.702,10.978,27.631,24.3285,7.069,15.1585,13.2175,30.6915,13.9495,-50.9805,5.1655,23.753
Mittimatalik,2013,2013-08-11,SKIN,CM125,ARPI-2013-07,ARPI4007,M,0,0,ARPI4007,1,ECAG1,1,mean,22.538,22.6605,26.0835,2.586,27.9145,25.1315,8.1005,15.9095,13.0815,33.4285,17.321,-47.8165,7.5195,24.7625
Pangnirtung,2020,2020-08-05,SKIN,CM262,KW-2020-PG-01,KW-2020-PG-01,M,1,2,KW-2020-PG-01,1,ECAG1,,mean,22.9195,20.8255,24.8885,8.816,24.558,24.492,7.554,14.668,12.2605,30.4005,15.4625,-47.1885,6.96,26.441
Pangnirtung,2020,2020-08-05,SKIN,CM263,KW-2020-PG-02,KW-2020-PG-02,F,0,0,KW-2020-PG-02,1,ECAG1,1,mean,22.271,21.202,24.331,8.1055,25.2475,24.3775,8.673,15.1655,12.7355,31.7455,17.0065,-43.64,7.6885,26.1225
Pangnirtung,2020,2020-08-05,SKIN,CM264,KW-2020-PG-03,KW-2020-PG-03,F,1,2,KW-2020-PG-03,1,ECAG1,,mean,21.5365,20.1685,23.9075,7.329,24.9455,24.016,7.7115,13.8575,11.7235,30.178,15.455,-47.331,7.0825,25.5995
Pangnirtung,2020,2020-08-05,SKIN,CM265,KW-2020-PG-04,KW-2020-PG-04,M,1,0,KW-2020-PG-04,1,ECAG1,,mean,25.0965,20.4455,24.7035,7.517,25.2625,24.445,8.2415,14.6605,11.802,31.336,15.141,-43.2335,7.4905,26.1285
Pangnirtung,2020,2020-08-06,SKIN,CM266,KW-2020-PG-05,KW-2020-PG-05,M,0,0,KW-2020-PG-05,1,ECAG1,1,mean,24.724,20.149,23.996,7.541,25.132,24.559,7.2725,13.2835,11.6545,30.0135,15.2255,-46.754,7.022,25.9685
Pangnirtung,2020,2020-08-06,SKIN,CM267,KW-2020-PG-06,KW-2020-PG-06,F,1,2,ARPI4006,1,ECAG1,,mean,23.881,20.2555,23.977,7.66,24.764,24.058,6.89,15.42,13.093,31.3665,14.799,-48.445,8.977,25.1035
Pangnirtung,2020,2020-08-06,SKIN,CM268,KW-2020-PG-07,KW-2020-PG-07,F,2,3,KW-2020-PG-03,1,ECAG1,,mean,23.2515,20.6445,24.0095,6.174,24.883,24.1265,7.9065,13.6035,11.4895,31.107,16.082,-47.045,7.2625,25.4305
Pangnirtung,2020,2020-08-06,SKIN,CM269,KW-2020-PG-08,KW-2020-PG-08,F,0,0,KW-2020-PG-08,0,ECAG1,,mean,22.71,20.5035,23.896,6.3345,25.173,24.2605,7.461,14.339,12.9,31.3645,16.318,-44.5085,8.3515,25.889
Pangnirtung,2020,2020-08-06,SKIN,CM270,KW-2020-PG-09,KW-2020-PG-09,F,1,0,KW-2020-PG-09,1,ECAG1,1,mean,22.6085,20.8615,24.442,4.298,24.081,23.624,7.804,14.433,13.7445,32.889,15.3345,-46.2345,8.6545,25.102
Pangnirtung,2020,2020-08-06,SKIN,CM271,KW-2020-PG-10,KW-2020-PG-10,M,0,0,KW-2020-PG-10,0,ECAG1,,mean,23.791,22.8503,25.4503,3.7243,25.971,25.079,9.2873,15.4737,15.2363,32.1847,16.177,-48.6957,7.454,26.5727
